date,account_id,account_label,name,qty,lowest,median,total_lowest,total_median,type,exterior,rarity,quality,family,market_url,currency
2026-05-20,76561198059817397,Main Account,MP9 | Buff Blue (Factory New),1,,0.14,0,0.14,SMG,Factory New,Consumer Grade,Normal,MP9,https://steamcommunity.com/market/listings/730/MP9%20%7C%20Buff%20Blue%20%28Factory%20New%29?l=german,EUR
2026-05-20,76561198059817397,Main Account,Revolution Case,5,,0.37,0,1.85,Container,,Base Grade,Normal,Container,https://steamcommunity.com/market/listings/730/Revolution%20Case?l=german,EUR
2026-05-20,76561198059817397,Main Account,P90 | Sand Spray (Field-Tested),1,0.03,0.03,0.03,0.03,SMG,Field-Tested,Consumer Grade,Normal,P90,https://steamcommunity.com/market/listings/730/P90%20%7C%20Sand%20Spray%20%28Field-Tested%29?l=german,EUR
2026-05-20,76561198059817397,Main Account,Sealed Graffiti | Quickdraw (Tracer Yellow),1,0.05,0.04,0.05,0.04,Graffiti,,Base Grade,Normal,Sealed Graffiti,https://steamcommunity.com/market/listings/730/Sealed%20Graffiti%20%7C%20Quickdraw%20%28Tracer%20Yellow%29?l=german,EUR
2026-05-20,76561198059817397,Main Account,Sealed Graffiti | Jump Shot (Cash Green),1,,0.03,0,0.03,Graffiti,,Base Grade,Normal,Sealed Graffiti,https://steamcommunity.com/market/listings/730/Sealed%20Graffiti%20%7C%20Jump%20Shot%20%28Cash%20Green%29?l=german,EUR
2026-05-20,76561198059817397,Main Account,Sealed Graffiti | Noscope (Violent Violet),1,,0.03,0,0.03,Graffiti,,Base Grade,Normal,Sealed Graffiti,https://steamcommunity.com/market/listings/730/Sealed%20Graffiti%20%7C%20Noscope%20%28Violent%20Violet%29?l=german,EUR
2026-05-20,76561198059817397,Main Account,Sealed Graffiti | Quickdraw (Dust Brown),1,0.03,0.03,0.03,0.03,Graffiti,,Base Grade,Normal,Sealed Graffiti,https://steamcommunity.com/market/listings/730/Sealed%20Graffiti%20%7C%20Quickdraw%20%28Dust%20Brown%29?l=german,EUR
2026-05-20,76561198059817397,Main Account,Sealed Graffiti | Quickdraw (Desert Amber),1,,0.03,0,0.03,Graffiti,,Base Grade,Normal,Sealed Graffiti,https://steamcommunity.com/market/listings/730/Sealed%20Graffiti%20%7C%20Quickdraw%20%28Desert%20Amber%29?l=german,EUR
2026-05-20,76561198059817397,Main Account,Sealed Graffiti | Death Sentence (Wire Blue),1,,0.03,0,0.03,Graffiti,,Base Grade,Normal,Sealed Graffiti,https://steamcommunity.com/market/listings/730/Sealed%20Graffiti%20%7C%20Death%20Sentence%20%28Wire%20Blue%29?l=german,EUR
2026-05-20,76561198059817397,Main Account,Sealed Graffiti | Eco (Battle Green),1,0.03,0.06,0.03,0.06,Graffiti,,Base Grade,Normal,Sealed Graffiti,https://steamcommunity.com/market/listings/730/Sealed%20Graffiti%20%7C%20Eco%20%28Battle%20Green%29?l=german,EUR
