date,value_eur
2022-04-18,101.78 
2022-04-19,102.67 
2022-04-20,104.93 
2022-04-21,102.76 
2022-04-22,104.76 
2022-04-23,106.96 
2022-04-24,105.05 
2022-04-25,105.38 
2022-04-26,106.06 
2022-04-27,107.90 
2022-04-28,108.48 
2022-04-29,108.49 
2022-04-30,108.51 
2022-05-01,110.77 
2022-05-02,108.33 
2022-05-03,111.48 
2022-05-04,108.34 
2022-05-05,104.50 
2022-05-06,103.97 
2022-05-07,107.94 
2022-05-08,106.50 
2022-05-09,105.92 
2022-05-10,104.37 
2022-05-11,103.90 
2022-05-12,103.37 
2022-05-13,105.50 
2022-05-14,105.64 
2022-05-15,104.66 
2022-05-16,109.20 
2022-05-17,108.95 
2022-05-18,108.05 
2022-05-19,107.75 
2022-05-20,106.38 
2022-05-21,107.00 
2022-05-22,107.56 
2022-05-23,107.89 
2022-05-24,108.17 
2022-05-25,108.64 
2022-05-26,109.40 
2022-05-27,101.36 
2022-05-28,110.90 
2022-05-29,110.38 
2022-05-30,111.90 
2022-05-31,109.90 
2022-06-01,104.55 
2022-06-02,106.84 
2022-06-03,108.80 
2022-06-04,106.70 
2022-06-05,108.10 
2022-06-06,103.91 
2022-06-07,104.52 
2022-06-08,106.04 
2022-06-09,102.32 
2022-06-10,105.09 
2022-06-11,102.34 
2022-06-12,100.98 
2022-06-13,103.59 
2022-06-14,103.50 
2022-06-15,105.14 
2022-06-16,101.68 
2022-06-17,98.43 
2022-06-18,101.93 
2022-06-19,97.88 
2022-06-20,98.13 
2022-06-21,93.26 
2022-06-22,92.56 
2022-06-23,93.91 
2022-06-24,92.21 
2022-06-25,89.28 
2022-06-26,94.84 
2022-06-27,92.49 
2022-06-28,88.59 
2022-06-29,88.61 
2022-06-30,93.94 
2022-07-01,95.45 
2022-07-02,97.86 
2022-07-03,102.16 
2022-07-04,100.20 
2022-07-05,102.30 
2022-07-06,100.37 
2022-07-07,103.74 
2022-07-08,105.07 
2022-07-09,105.55 
2022-07-10,109.71 
2022-07-11,106.38 
2022-07-12,110.26 
2022-07-13,109.24 
2022-07-14,113.05 
2022-07-15,113.70 
2022-07-16,114.46 
